"Metric_value"|"isPartial"|"Trend_Name"|"Metric_Name"|"current_dttm"|"Keyword_List"|"Cat_CD"|"Type"|"date"
"29"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-01-27 00:00:00.000000"
"61"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-01-27 00:00:00.000000"
"10"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-01-27 00:00:00.000000"
"31"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-01-28 00:00:00.000000"
"61"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-01-28 00:00:00.000000"
"10"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-01-28 00:00:00.000000"
"27"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-01-29 00:00:00.000000"
"61"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-01-29 00:00:00.000000"
"10"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-01-29 00:00:00.000000"
"28"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-01-30 00:00:00.000000"
"62"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-01-30 00:00:00.000000"
"10"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-01-30 00:00:00.000000"
"43"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-01-31 00:00:00.000000"
"63"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-01-31 00:00:00.000000"
"10"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-01-31 00:00:00.000000"
"72"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-01 00:00:00.000000"
"70"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-01 00:00:00.000000"
"8"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-01 00:00:00.000000"
"42"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-02 00:00:00.000000"
"68"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-02 00:00:00.000000"
"7"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-02 00:00:00.000000"
"25"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-03 00:00:00.000000"
"60"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-03 00:00:00.000000"
"6"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-03 00:00:00.000000"
"30"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-04 00:00:00.000000"
"62"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-04 00:00:00.000000"
"5"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-04 00:00:00.000000"
"27"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-05 00:00:00.000000"
"62"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-05 00:00:00.000000"
"5"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-05 00:00:00.000000"
"29"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-06 00:00:00.000000"
"63"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-06 00:00:00.000000"
"5"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-06 00:00:00.000000"
"46"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-07 00:00:00.000000"
"68"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-07 00:00:00.000000"
"6"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-07 00:00:00.000000"
"71"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-08 00:00:00.000000"
"74"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-08 00:00:00.000000"
"5"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-08 00:00:00.000000"
"56"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-09 00:00:00.000000"
"71"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-09 00:00:00.000000"
"5"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-09 00:00:00.000000"
"32"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-10 00:00:00.000000"
"65"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-10 00:00:00.000000"
"5"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-10 00:00:00.000000"
"33"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-11 00:00:00.000000"
"64"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-11 00:00:00.000000"
"5"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-11 00:00:00.000000"
"31"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-12 00:00:00.000000"
"64"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-12 00:00:00.000000"
"4"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-12 00:00:00.000000"
"36"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-13 00:00:00.000000"
"65"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-13 00:00:00.000000"
"5"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-13 00:00:00.000000"
"73"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-14 00:00:00.000000"
"69"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-14 00:00:00.000000"
"4"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-14 00:00:00.000000"
"95"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-15 00:00:00.000000"
"81"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-15 00:00:00.000000"
"3"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-15 00:00:00.000000"
"75"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-16 00:00:00.000000"
"82"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-16 00:00:00.000000"
"3"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-16 00:00:00.000000"
"48"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-17 00:00:00.000000"
"73"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-17 00:00:00.000000"
"3"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-17 00:00:00.000000"
"34"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-18 00:00:00.000000"
"68"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-18 00:00:00.000000"
"3"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-18 00:00:00.000000"
"29"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-19 00:00:00.000000"
"68"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-19 00:00:00.000000"
"3"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-19 00:00:00.000000"
"31"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-20 00:00:00.000000"
"68"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-20 00:00:00.000000"
"3"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-20 00:00:00.000000"
"52"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-21 00:00:00.000000"
"71"|"0"|"Tourist Destinations"|"Interest over time"|"2020-08-13 15:52:27.049017"|""|"208"|"Interest over time"|"2020-02-21 00:00:00.000000"
"3"|"0"|"Covid Search"|"Covid"|"2020-08-13 15:52:20.458477"|"covid + coronavirus"|""|"Interest over time"|"2020-02-21 00:00:00.000000"
"76"|"0"|"Movie Listings & Theater Showtimes"|"Interest over time"|"2020-08-13 15:52:23.182636"|""|"1085"|"Interest over time"|"2020-02-22 00:00:00.000000"
