"CLient_nbr"|"Client_name"|"Site_Id"|"Site_Type"|"Address"|"City"|"State"|"Zipcode"|"Region"|"Country_cd"|"Nbr_at_location"|"People_type"
"1"|"Teradata"|"Virtual-32940"|"Employee"|"n/a"|"Melbourne"|"FL"|"32940"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-92064"|"Employee"|"n/a"|"Poway"|"CA"|"92064"|"AMERICAS"|"USA"|"35"|"Office"
"1"|"Teradata"|"office-78641"|"Employee"|"n/a"|"Leander"|"TX"|"78641"|"AMERICAS"|"USA"|"2"|"Office"
"1"|"Teradata"|"office-30075"|"Employee"|"n/a"|"Roswell"|"GA"|"30075"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-30214"|"Employee"|"n/a"|"Fayetteville"|"GA"|"30214"|"AMERICAS"|"USA"|"2"|"Office"
"1"|"Teradata"|"Virtual-92808"|"Employee"|"n/a"|"Anaheim"|"CA"|"92808"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-27514"|"Employee"|"n/a"|"Chapel Hill"|"NC"|"27514"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-92127"|"Employee"|"n/a"|"San Diego"|"CA"|"92127"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-90403"|"Employee"|"n/a"|"Santa Monica"|"CA"|"90403"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-30215"|"Employee"|"n/a"|"Fayetteville"|"GA"|"30215"|"AMERICAS"|"USA"|"3"|"Virtual"
"1"|"Teradata"|"Virtual-17042"|"Employee"|"n/a"|"Lebanon"|"PA"|"17042"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-34667"|"Employee"|"n/a"|"Hudson"|"FL"|"34667"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-78734"|"Employee"|"n/a"|"Austin"|"TX"|"78734"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-90405"|"Employee"|"n/a"|"Santa Monica"|"CA"|"90405"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-92688"|"Employee"|"n/a"|"Rancho Santa Margarita"|"CA"|"92688"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-60044"|"Employee"|"n/a"|"Lake Bluff"|"IL"|"60044"|"AMERICAS"|"USA"|"2"|"Virtual"
"1"|"Teradata"|"office-92879"|"Employee"|"n/a"|"Corona"|"CA"|"92879"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-35007"|"Employee"|"n/a"|"Alabaster"|"AL"|"35007"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-20124"|"Employee"|"n/a"|"Clifton"|"VA"|"20124"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-27513"|"Employee"|"n/a"|"Cary"|"NC"|"27513"|"AMERICAS"|"USA"|"5"|"Office"
"1"|"Teradata"|"Virtual-93010"|"Employee"|"n/a"|"Camarillo"|"CA"|"93010"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-60074"|"Employee"|"n/a"|"Palatine"|"IL"|"60074"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-29926"|"Employee"|"n/a"|"Hilton Head Island"|"SC"|"29926"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-6906"|"Employee"|"n/a"|"Stamford"|"CT"|"06906"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-19012"|"Employee"|"n/a"|"Cheltenham"|"PA"|"19012"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-1938"|"Employee"|"n/a"|"Ipswich"|"MA"|"01938"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-30519"|"Employee"|"n/a"|"Buford"|"GA"|"30519"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-49408"|"Employee"|"n/a"|"Fennville"|"MI"|"49408"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-46037"|"Employee"|"n/a"|"Fishers"|"IN"|"46037"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-60439"|"Employee"|"n/a"|"Lemont"|"IL"|"60439"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-21401"|"Employee"|"n/a"|"Annapolis"|"MD"|"21401"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-90247"|"Employee"|"n/a"|"Gardena"|"CA"|"90247"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-28273"|"Employee"|"n/a"|"Charlotte"|"NC"|"28273"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-78665"|"Employee"|"n/a"|"Round Rock"|"TX"|"78665"|"AMERICAS"|"USA"|"3"|"Office"
"1"|"Teradata"|"Virtual-30008"|"Employee"|"n/a"|"Marietta"|"GA"|"30008"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-20774"|"Employee"|"n/a"|"Upper Marlboro"|"MD"|"20774"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-91770"|"Employee"|"n/a"|"Rosemead"|"CA"|"91770"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-78130"|"Employee"|"n/a"|"New Braunfels"|"TX"|"78130"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-90717"|"Employee"|"n/a"|"Lomita"|"CA"|"90717"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-45431"|"Employee"|"n/a"|"Dayton"|"OH"|"45431"|"AMERICAS"|"USA"|"4"|"Virtual"
"1"|"Teradata"|"office-27516"|"Employee"|"n/a"|"Chapel Hill"|"NC"|"27516"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-91911"|"Employee"|"n/a"|"Chula Vista"|"CA"|"91911"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-92117"|"Employee"|"n/a"|"San Diego"|"CA"|"92117"|"AMERICAS"|"USA"|"15"|"Office"
"1"|"Teradata"|"office-10001"|"Employee"|"n/a"|"New York"|"NY"|"10001"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-66061"|"Employee"|"n/a"|"Olathe"|"KS"|"66061"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-90036"|"Employee"|"n/a"|"Los Angeles"|"CA"|"90036"|"AMERICAS"|"USA"|"2"|"Office"
